Restaurant_ID,Restaurant_Name,City,Area,Cuisine,Rating,Votes,Cost_for_Two,online platform,Online_Order,Table_Booking,Delivery_Time,Latitude,Longitude,Address,Phone,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100
1001,Spice Garden,Mumbai,Andheri,North Indian,4.3,2450,1200,swiggy,Yes,Yes,32 min,19.1136,72.8697,Andheri West,9876543210,Value_1_16,Value_1_17,Value_1_18,Value_1_19,Value_1_20,Value_1_21,Value_1_22,Value_1_23,Value_1_24,Value_1_25,Value_1_26,Value_1_27,Value_1_28,Value_1_29,Value_1_30,Value_1_31,Value_1_32,Value_1_33,Value_1_34,Value_1_35,Value_1_36,Value_1_37,Value_1_38,Value_1_39,Value_1_40,Value_1_41,Value_1_42,Value_1_43,Value_1_44,Value_1_45,Value_1_46,Value_1_47,Value_1_48,Value_1_49,Value_1_50,Value_1_51,Value_1_52,Value_1_53,Value_1_54,Value_1_55,Value_1_56,Value_1_57,Value_1_58,Value_1_59,Value_1_60,Value_1_61,Value_1_62,Value_1_63,Value_1_64,Value_1_65,Value_1_66,Value_1_67,Value_1_68,Value_1_69,Value_1_70,Value_1_71,Value_1_72,Value_1_73,Value_1_74,Value_1_75,Value_1_76,Value_1_77,Value_1_78,Value_1_79,Value_1_80,Value_1_81,Value_1_82,Value_1_83,Value_1_84,Value_1_85,Value_1_86,Value_1_87,Value_1_88,Value_1_89,Value_1_90,Value_1_91,Value_1_92,Value_1_93,Value_1_94,Value_1_95,Value_1_96,Value_1_97,Value_1_98,Value_1_99,Value_1_100
1002,Pizza Hub,Bengaluru,Koramangala,Italian,4.1,1820,900,zomato,Yes,No,28 min,12.9352,77.6245,Koramangala 5th Block,9876501234,Value_2_16,Value_2_17,Value_2_18,Value_2_19,Value_2_20,Value_2_21,Value_2_22,Value_2_23,Value_2_24,Value_2_25,Value_2_26,Value_2_27,Value_2_28,Value_2_29,Value_2_30,Value_2_31,Value_2_32,Value_2_33,Value_2_34,Value_2_35,Value_2_36,Value_2_37,Value_2_38,Value_2_39,Value_2_40,Value_2_41,Value_2_42,Value_2_43,Value_2_44,Value_2_45,Value_2_46,Value_2_47,Value_2_48,Value_2_49,Value_2_50,Value_2_51,Value_2_52,Value_2_53,Value_2_54,Value_2_55,Value_2_56,Value_2_57,Value_2_58,Value_2_59,Value_2_60,Value_2_61,Value_2_62,Value_2_63,Value_2_64,Value_2_65,Value_2_66,Value_2_67,Value_2_68,Value_2_69,Value_2_70,Value_2_71,Value_2_72,Value_2_73,Value_2_74,Value_2_75,Value_2_76,Value_2_77,Value_2_78,Value_2_79,Value_2_80,Value_2_81,Value_2_82,Value_2_83,Value_2_84,Value_2_85,Value_2_86,Value_2_87,Value_2_88,Value_2_89,Value_2_90,Value_2_91,Value_2_92,Value_2_93,Value_2_94,Value_2_95,Value_2_96,Value_2_97,Value_2_98,Value_2_99,Value_2_100
1003,Royal Biryani,Hyderabad,Banjara Hills,Biryani,99.8,4100,800,swiggy,Yes,Yes,25 min,17.4126,78.4482,Road No. 12,9876511111,Value_3_16,Value_3_17,Value_3_18,Value_3_19,Value_3_20,Value_3_21,Value_3_22,Value_3_23,Value_3_24,Value_3_25,Value_3_26,Value_3_27,Value_3_28,Value_3_29,Value_3_30,Value_3_31,Value_3_32,Value_3_33,Value_3_34,Value_3_35,Value_3_36,Value_3_37,Value_3_38,Value_3_39,Value_3_40,Value_3_41,Value_3_42,Value_3_43,Value_3_44,Value_3_45,Value_3_46,Value_3_47,Value_3_48,Value_3_49,Value_3_50,Value_3_51,Value_3_52,Value_3_53,Value_3_54,Value_3_55,Value_3_56,Value_3_57,Value_3_58,Value_3_59,Value_3_60,Value_3_61,Value_3_62,Value_3_63,Value_3_64,Value_3_65,Value_3_66,Value_3_67,Value_3_68,Value_3_69,Value_3_70,Value_3_71,Value_3_72,Value_3_73,Value_3_74,Value_3_75,Value_3_76,Value_3_77,Value_3_78,Value_3_79,Value_3_80,Value_3_81,Value_3_82,Value_3_83,Value_3_84,Value_3_85,Value_3_86,Value_3_87,Value_3_88,Value_3_89,Value_3_90,Value_3_91,Value_3_92,Value_3_93,Value_3_94,Value_3_95,Value_3_96,Value_3_97,Value_3_98,Value_3_99,Value_3_100
1004,jeera wala,delhi,kota,italian,,4440,566.6666667,swiggy,Yes,Yes,32 min,14.78613333,81.89263333,Andheri West,9876486419,Value_1_16,Value_1_17,Value_1_18,Value_1_19,Value_1_20,Value_1_21,Value_1_22,Value_1_23,Value_1_24,Value_1_25,Value_1_26,Value_1_27,Value_1_28,Value_1_29,Value_1_30,Value_1_31,Value_1_32,Value_1_33,Value_1_34,Value_1_35,Value_1_36,Value_1_37,Value_1_38,Value_1_39,Value_1_40,Value_1_41,Value_1_42,Value_1_43,Value_1_44,Value_1_45,Value_1_46,Value_1_47,Value_1_48,Value_1_49,Value_1_50,Value_1_51,Value_1_52,Value_1_53,Value_1_54,Value_1_55,Value_1_56,Value_1_57,Value_1_58,Value_1_59,Value_1_60,Value_1_61,Value_1_62,Value_1_63,Value_1_64,Value_1_65,Value_1_66,Value_1_67,Value_1_68,Value_1_69,Value_1_70,Value_1_71,Value_1_72,Value_1_73,Value_1_74,Value_1_75,Value_1_76,Value_1_77,Value_1_78,Value_1_79,Value_1_80,Value_1_81,Value_1_82,Value_1_83,Value_1_84,Value_1_85,Value_1_86,Value_1_87,Value_1_88,Value_1_89,Value_1_90,Value_1_91,Value_1_92,Value_1_93,Value_1_94,Value_1_95,Value_1_96,Value_1_97,Value_1_98,Value_1_99,Value_1_100
1005,grand thakkar,delhi,kota,North Indian,2.2,5265,366.6666667,zomato,Yes,No,28 min,13.93563333,84.68188333,Koramangala 5th Block,9876470370,Value_2_16,Value_2_17,Value_2_18,Value_2_19,Value_2_20,Value_2_21,Value_2_22,Value_2_23,Value_2_24,Value_2_25,Value_2_26,Value_2_27,Value_2_28,Value_2_29,Value_2_30,Value_2_31,Value_2_32,Value_2_33,Value_2_34,Value_2_35,Value_2_36,Value_2_37,Value_2_38,Value_2_39,Value_2_40,Value_2_41,Value_2_42,Value_2_43,Value_2_44,Value_2_45,Value_2_46,Value_2_47,Value_2_48,Value_2_49,Value_2_50,Value_2_51,Value_2_52,Value_2_53,Value_2_54,Value_2_55,Value_2_56,Value_2_57,Value_2_58,Value_2_59,Value_2_60,Value_2_61,Value_2_62,Value_2_63,Value_2_64,Value_2_65,Value_2_66,Value_2_67,Value_2_68,Value_2_69,Value_2_70,Value_2_71,Value_2_72,Value_2_73,Value_2_74,Value_2_75,Value_2_76,Value_2_77,Value_2_78,Value_2_79,Value_2_80,Value_2_81,Value_2_82,Value_2_83,Value_2_84,Value_2_85,Value_2_86,Value_2_87,Value_2_88,Value_2_89,Value_2_90,Value_2_91,Value_2_92,Value_2_93,Value_2_94,Value_2_95,Value_2_96,Value_2_97,Value_2_98,Value_2_99,Value_2_100
1006,mix spices,mumbai,nagpur,biryani,4.4,6090,166.6666667,zomato,Yes,Yes,25 min,13.08513333,87.47113333,Road No. 13,9876454320,Value_3_16,Value_3_17,Value_3_18,Value_3_19,Value_3_20,Value_3_21,Value_3_22,Value_3_23,Value_3_24,Value_3_25,Value_3_26,Value_3_27,Value_3_28,Value_3_29,Value_3_30,Value_3_31,Value_3_32,Value_3_33,Value_3_34,Value_3_35,Value_3_36,Value_3_37,Value_3_38,Value_3_39,Value_3_40,Value_3_41,Value_3_42,Value_3_43,Value_3_44,Value_3_45,Value_3_46,Value_3_47,Value_3_48,Value_3_49,Value_3_50,Value_3_51,Value_3_52,Value_3_53,Value_3_54,Value_3_55,Value_3_56,Value_3_57,Value_3_58,Value_3_59,Value_3_60,Value_3_61,Value_3_62,Value_3_63,Value_3_64,Value_3_65,Value_3_66,Value_3_67,Value_3_68,Value_3_69,Value_3_70,Value_3_71,Value_3_72,Value_3_73,Value_3_74,Value_3_75,Value_3_76,Value_3_77,Value_3_78,Value_3_79,Value_3_80,Value_3_81,Value_3_82,Value_3_83,Value_3_84,Value_3_85,Value_3_86,Value_3_87,Value_3_88,Value_3_89,Value_3_90,Value_3_91,Value_3_92,Value_3_93,Value_3_94,Value_3_95,Value_3_96,Value_3_97,Value_3_98,Value_3_99,Value_3_100
1007,latest trends,mumbai,gunatit,italian,99.9,6915,170,swiggy,Yes,Yes,32 min,12.23463333,90.26038333,Andheri West,9876438271,Value_1_16,Value_1_17,Value_1_18,Value_1_19,Value_1_20,Value_1_21,Value_1_22,Value_1_23,Value_1_24,Value_1_25,Value_1_26,Value_1_27,Value_1_28,Value_1_29,Value_1_30,Value_1_31,Value_1_32,Value_1_33,Value_1_34,Value_1_35,Value_1_36,Value_1_37,Value_1_38,Value_1_39,Value_1_40,Value_1_41,Value_1_42,Value_1_43,Value_1_44,Value_1_45,Value_1_46,Value_1_47,Value_1_48,Value_1_49,Value_1_50,Value_1_51,Value_1_52,Value_1_53,Value_1_54,Value_1_55,Value_1_56,Value_1_57,Value_1_58,Value_1_59,Value_1_60,Value_1_61,Value_1_62,Value_1_63,Value_1_64,Value_1_65,Value_1_66,Value_1_67,Value_1_68,Value_1_69,Value_1_70,Value_1_71,Value_1_72,Value_1_73,Value_1_74,Value_1_75,Value_1_76,Value_1_77,Value_1_78,Value_1_79,Value_1_80,Value_1_81,Value_1_82,Value_1_83,Value_1_84,Value_1_85,Value_1_86,Value_1_87,Value_1_88,Value_1_89,Value_1_90,Value_1_91,Value_1_92,Value_1_93,Value_1_94,Value_1_95,Value_1_96,Value_1_97,Value_1_98,Value_1_99,Value_1_100
1008,mexican dry,kolkata,yadavnagar,south indian,,7740,390,zomato,Yes,No,28 min,11.38413333,93.04963333,Koramangala 5th Block,9876422221,Value_2_16,Value_2_17,Value_2_18,Value_2_19,Value_2_20,Value_2_21,Value_2_22,Value_2_23,Value_2_24,Value_2_25,Value_2_26,Value_2_27,Value_2_28,Value_2_29,Value_2_30,Value_2_31,Value_2_32,Value_2_33,Value_2_34,Value_2_35,Value_2_36,Value_2_37,Value_2_38,Value_2_39,Value_2_40,Value_2_41,Value_2_42,Value_2_43,Value_2_44,Value_2_45,Value_2_46,Value_2_47,Value_2_48,Value_2_49,Value_2_50,Value_2_51,Value_2_52,Value_2_53,Value_2_54,Value_2_55,Value_2_56,Value_2_57,Value_2_58,Value_2_59,Value_2_60,Value_2_61,Value_2_62,Value_2_63,Value_2_64,Value_2_65,Value_2_66,Value_2_67,Value_2_68,Value_2_69,Value_2_70,Value_2_71,Value_2_72,Value_2_73,Value_2_74,Value_2_75,Value_2_76,Value_2_77,Value_2_78,Value_2_79,Value_2_80,Value_2_81,Value_2_82,Value_2_83,Value_2_84,Value_2_85,Value_2_86,Value_2_87,Value_2_88,Value_2_89,Value_2_90,Value_2_91,Value_2_92,Value_2_93,Value_2_94,Value_2_95,Value_2_96,Value_2_97,Value_2_98,Value_2_99,Value_2_100
1009,europe slice,jammu,nirjhara,North Indian,2.2,8565,980,swiggy,Yes,Yes,25 min,10.53363333,95.83888333,Road No. 14,9876406172,Value_3_16,Value_3_17,Value_3_18,Value_3_19,Value_3_20,Value_3_21,Value_3_22,Value_3_23,Value_3_24,Value_3_25,Value_3_26,Value_3_27,Value_3_28,Value_3_29,Value_3_30,Value_3_31,Value_3_32,Value_3_33,Value_3_34,Value_3_35,Value_3_36,Value_3_37,Value_3_38,Value_3_39,Value_3_40,Value_3_41,Value_3_42,Value_3_43,Value_3_44,Value_3_45,Value_3_46,Value_3_47,Value_3_48,Value_3_49,Value_3_50,Value_3_51,Value_3_52,Value_3_53,Value_3_54,Value_3_55,Value_3_56,Value_3_57,Value_3_58,Value_3_59,Value_3_60,Value_3_61,Value_3_62,Value_3_63,Value_3_64,Value_3_65,Value_3_66,Value_3_67,Value_3_68,Value_3_69,Value_3_70,Value_3_71,Value_3_72,Value_3_73,Value_3_74,Value_3_75,Value_3_76,Value_3_77,Value_3_78,Value_3_79,Value_3_80,Value_3_81,Value_3_82,Value_3_83,Value_3_84,Value_3_85,Value_3_86,Value_3_87,Value_3_88,Value_3_89,Value_3_90,Value_3_91,Value_3_92,Value_3_93,Value_3_94,Value_3_95,Value_3_96,Value_3_97,Value_3_98,Value_3_99,Value_3_100
1010,amrican taste,kashmir,firozabad,North Indian,2.7,9390,389,swiggy,Yes,Yes,32 min,9.683133333,98.62813333,Andheri West,9876390122,Value_1_16,Value_1_17,Value_1_18,Value_1_19,Value_1_20,Value_1_21,Value_1_22,Value_1_23,Value_1_24,Value_1_25,Value_1_26,Value_1_27,Value_1_28,Value_1_29,Value_1_30,Value_1_31,Value_1_32,Value_1_33,Value_1_34,Value_1_35,Value_1_36,Value_1_37,Value_1_38,Value_1_39,Value_1_40,Value_1_41,Value_1_42,Value_1_43,Value_1_44,Value_1_45,Value_1_46,Value_1_47,Value_1_48,Value_1_49,Value_1_50,Value_1_51,Value_1_52,Value_1_53,Value_1_54,Value_1_55,Value_1_56,Value_1_57,Value_1_58,Value_1_59,Value_1_60,Value_1_61,Value_1_62,Value_1_63,Value_1_64,Value_1_65,Value_1_66,Value_1_67,Value_1_68,Value_1_69,Value_1_70,Value_1_71,Value_1_72,Value_1_73,Value_1_74,Value_1_75,Value_1_76,Value_1_77,Value_1_78,Value_1_79,Value_1_80,Value_1_81,Value_1_82,Value_1_83,Value_1_84,Value_1_85,Value_1_86,Value_1_87,Value_1_88,Value_1_89,Value_1_90,Value_1_91,Value_1_92,Value_1_93,Value_1_94,Value_1_95,Value_1_96,Value_1_97,Value_1_98,Value_1_99,Value_1_100
1003,Royal Biryani,Hyderabad,Banjara Hills,Biryani,99.8,4100,800,swiggy,Yes,Yes,25 min,17.4126,78.4482,Road No. 12,9876511111,Value_3_16,Value_3_17,Value_3_18,Value_3_19,Value_3_20,Value_3_21,Value_3_22,Value_3_23,Value_3_24,Value_3_25,Value_3_26,Value_3_27,Value_3_28,Value_3_29,Value_3_30,Value_3_31,Value_3_32,Value_3_33,Value_3_34,Value_3_35,Value_3_36,Value_3_37,Value_3_38,Value_3_39,Value_3_40,Value_3_41,Value_3_42,Value_3_43,Value_3_44,Value_3_45,Value_3_46,Value_3_47,Value_3_48,Value_3_49,Value_3_50,Value_3_51,Value_3_52,Value_3_53,Value_3_54,Value_3_55,Value_3_56,Value_3_57,Value_3_58,Value_3_59,Value_3_60,Value_3_61,Value_3_62,Value_3_63,Value_3_64,Value_3_65,Value_3_66,Value_3_67,Value_3_68,Value_3_69,Value_3_70,Value_3_71,Value_3_72,Value_3_73,Value_3_74,Value_3_75,Value_3_76,Value_3_77,Value_3_78,Value_3_79,Value_3_80,Value_3_81,Value_3_82,Value_3_83,Value_3_84,Value_3_85,Value_3_86,Value_3_87,Value_3_88,Value_3_89,Value_3_90,Value_3_91,Value_3_92,Value_3_93,Value_3_94,Value_3_95,Value_3_96,Value_3_97,Value_3_98,Value_3_99,Value_3_100
1005,grand thakkar,delhi,kota,North Indian,2.2,5265,366.6666667,zomato,Yes,No,28 min,13.93563333,84.68188333,Koramangala 5th Block,9876470370,Value_2_16,Value_2_17,Value_2_18,Value_2_19,Value_2_20,Value_2_21,Value_2_22,Value_2_23,Value_2_24,Value_2_25,Value_2_26,Value_2_27,Value_2_28,Value_2_29,Value_2_30,Value_2_31,Value_2_32,Value_2_33,Value_2_34,Value_2_35,Value_2_36,Value_2_37,Value_2_38,Value_2_39,Value_2_40,Value_2_41,Value_2_42,Value_2_43,Value_2_44,Value_2_45,Value_2_46,Value_2_47,Value_2_48,Value_2_49,Value_2_50,Value_2_51,Value_2_52,Value_2_53,Value_2_54,Value_2_55,Value_2_56,Value_2_57,Value_2_58,Value_2_59,Value_2_60,Value_2_61,Value_2_62,Value_2_63,Value_2_64,Value_2_65,Value_2_66,Value_2_67,Value_2_68,Value_2_69,Value_2_70,Value_2_71,Value_2_72,Value_2_73,Value_2_74,Value_2_75,Value_2_76,Value_2_77,Value_2_78,Value_2_79,Value_2_80,Value_2_81,Value_2_82,Value_2_83,Value_2_84,Value_2_85,Value_2_86,Value_2_87,Value_2_88,Value_2_89,Value_2_90,Value_2_91,Value_2_92,Value_2_93,Value_2_94,Value_2_95,Value_2_96,Value_2_97,Value_2_98,Value_2_99,Value_2_100
1006,mix spices,mumbai,nagpur,biryani,4.4,6090,166.6666667,zomato,Yes,Yes,25 min,13.08513333,87.47113333,Road No. 13,9876454320,Value_3_16,Value_3_17,Value_3_18,Value_3_19,Value_3_20,Value_3_21,Value_3_22,Value_3_23,Value_3_24,Value_3_25,Value_3_26,Value_3_27,Value_3_28,Value_3_29,Value_3_30,Value_3_31,Value_3_32,Value_3_33,Value_3_34,Value_3_35,Value_3_36,Value_3_37,Value_3_38,Value_3_39,Value_3_40,Value_3_41,Value_3_42,Value_3_43,Value_3_44,Value_3_45,Value_3_46,Value_3_47,Value_3_48,Value_3_49,Value_3_50,Value_3_51,Value_3_52,Value_3_53,Value_3_54,Value_3_55,Value_3_56,Value_3_57,Value_3_58,Value_3_59,Value_3_60,Value_3_61,Value_3_62,Value_3_63,Value_3_64,Value_3_65,Value_3_66,Value_3_67,Value_3_68,Value_3_69,Value_3_70,Value_3_71,Value_3_72,Value_3_73,Value_3_74,Value_3_75,Value_3_76,Value_3_77,Value_3_78,Value_3_79,Value_3_80,Value_3_81,Value_3_82,Value_3_83,Value_3_84,Value_3_85,Value_3_86,Value_3_87,Value_3_88,Value_3_89,Value_3_90,Value_3_91,Value_3_92,Value_3_93,Value_3_94,Value_3_95,Value_3_96,Value_3_97,Value_3_98,Value_3_99,Value_3_100
